cluster,age_num,sex,marital_status,city,milieu_resid,region_name,bancarise
17,29,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
12,17,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,15,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
12,12,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
22,34,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
56,50,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,3,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
12,1,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
56,56,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
22,38,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
94,38,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
56,55,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
12,14,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
22,39,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
56,43,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,9,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
94,42,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
12,2,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
22,37,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
56,54,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
1,12,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
12,7,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
94,37,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
12,9,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
17,18,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
22,45,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
12,13,Féminin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,0
56,63,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
94,30,Masculin,Célibataire,ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
56,45,Masculin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
22,29,Féminin,Marié(e),ABIDJAN,Urbain,AUTONOME D'ABIDJAN,1
