Règle_ID,Conditions,Cluster_Assigné,Nombre_Individus
61,marital_status = 'Célibataire' ET milieu_resid = 'Rural' ET bancarise <= 0.50 ET sex = 'Féminin' ET region_name = 'N'ZI' ET age_num <= 38 ans,0,179
197,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Féminin' ET bancarise <= 0.50 ET city ∈ ['ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI', 'BONDO', 'BONDOUKOU', 'BONGO', 'BONGOUANOU', 'BONGUERA', 'BONIEREDOUGOU', 'BONON', 'BONOUA', 'BOOKO', 'BORON', 'BOROTOU', 'BOTRO', 'BOUAFLE', 'BOUAKE', 'BOUANDOUGOU', 'BOUGOU', 'BOUGOUSSO', 'BOUKO', 'BOUNA', 'BOUNDA', 'BOUNDIALI', 'BUYO', 'CECHI', 'CHIEPO', 'DABAKALA', 'DABOU', 'DABOUYO', 'DAHIEPA-KEHI', 'DAHIRI', 'DAIRO-DIDIZO', 'DAKPADOU', 'DALEU', 'DALOA', 'DAME', 'DANANE', 'DANANON', 'DANGUIRA', 'DANIA', 'DANOA', 'DAOUKRO', 'DAPEOUA', 'DIABO', 'DIAMARAKRO', 'DIANGOKRO', 'DIANRA', 'DIANRA-VILLAGE', 'DIARABANA', 'DIAWALA', 'DIBRI-ASRIKRO'] ET age_num <= 2 ans ET region_name = 'N'ZI'",0,3
200,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Féminin' ET bancarise <= 0.50 ET city ∈ ['BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI'] ET 2 < age_num <= 10 ans ET region_name ∈ ['MORONOU', 'N'ZI', 'NAWA']",0,1
205,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Féminin' ET bancarise <= 0.50 ET city ∈ ['DIDIEVI', 'DIDOKO', 'DIEGONEFLA', 'DIEOUZON', 'DIGNAGO', 'DIKODOUGOU', 'DIMANDOUGOU', 'DIMBOKRO', 'DIOULATIEDOUGOU', 'DIVO', 'DJAMANDIOKE', 'DJEBONOUA', 'DJEKANOU', 'DJIBROSSO', 'DJOUROUTOU', 'DOBA', 'DOGBO', 'DOKE', 'DOROPO', 'DOUGROUPALEGNOA', 'DOUKOUYO', 'DUALLA', 'DUEKOUE', 'DUFFREBO', 'EBILASSOKRO', 'EBONOU', 'ETTROKRO', 'ETUEBOUE', 'FACOBLY', 'FADIADOUGOU', 'FAGNAMPLEU', 'FAMIENKRO', 'FENGOLO', 'FERKESSEDOUGOU', 'FOUMBOLO', 'FOUNGBESSO', 'FRESCO', 'FRONAN', 'GABIADJI'] ET age_num <= 11 ans ET region_name ∈ ['MORONOU', 'N'ZI', 'NAWA']",0,24
274,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Féminin' ET bancarise <= 0.50 ET city ∈ ['ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI', 'BONDO', 'BONDOUKOU', 'BONGO', 'BONGOUANOU', 'BONGUERA', 'BONIEREDOUGOU', 'BONON', 'BONOUA', 'BOOKO', 'BORON', 'BOROTOU', 'BOTRO', 'BOUAFLE', 'BOUAKE', 'BOUANDOUGOU', 'BOUGOU', 'BOUGOUSSO', 'BOUKO', 'BOUNA', 'BOUNDA', 'BOUNDIALI', 'BUYO', 'CECHI', 'CHIEPO', 'DABAKALA', 'DABOU', 'DABOUYO', 'DAHIEPA-KEHI', 'DAHIRI', 'DAIRO-DIDIZO', 'DAKPADOU', 'DALEU', 'DALOA', 'DAME', 'DANANE', 'DANANON', 'DANGUIRA', 'DANIA', 'DANOA', 'DAOUKRO', 'DAPEOUA', 'DIABO', 'DIAMARAKRO', 'DIANGOKRO', 'DIANRA', 'DIANRA-VILLAGE', 'DIARABANA', 'DIAWALA', 'DIBRI-ASRIKRO', 'DIDIEVI', 'DIDOKO', 'DIEGONEFLA', 'DIEOUZON', 'DIGNAGO', 'DIKODOUGOU', 'DIMANDOUGOU', 'DIMBOKRO', 'DIOULATIEDOUGOU', 'DIVO', 'DJAMANDIOKE', 'DJEBONOUA', 'DJEKANOU', 'DJIBROSSO', 'DJOUROUTOU', 'DOBA', 'DOGBO', 'DOKE', 'DOROPO', 'DOUGROUPALEGNOA', 'DOUKOUYO', 'DUALLA', 'DUEKOUE', 'DUFFREBO', 'EBILASSOKRO', 'EBONOU', 'ETTROKRO', 'ETUEBOUE', 'FACOBLY', 'FADIADOUGOU', 'FAGNAMPLEU', 'FAMIENKRO', 'FENGOLO', 'FERKESSEDOUGOU', 'FOUMBOLO', 'FOUNGBESSO', 'FRESCO', 'FRONAN', 'GABIADJI', 'GADOUAN', 'GAGNOA', 'GAGORE', 'GALEBOUO', 'GANAONI', 'GBAGBAM', 'GBAPLEU', 'GBOGUHE', 'GBOLOUVILLE', 'GBON', 'GBON-HOUYE', 'GBONGAHA', 'GBONNE', 'GNAMANGUI', 'GODOUKO', 'GOGO', 'GOHITAFLA', 'GOHOUO-ZAGNA', 'GOMON', 'GONATE', 'GOUEKAN', 'GOUINE', 'GOULALEU', 'GOULIA', 'GOUMERE', 'GRABO', 'GRAND-BASSAM', 'GRAND-BEREBY', 'GRAND-LAHOU', 'GRAND-MORIE', 'GRAND-ZATTRY', 'GREGBEU', 'GRIHIRI', 'GUEHIEBLY', 'GUEPAHOUO', 'GUESSABO', 'GUESSIGUIE', 'GUEYO', 'GUEZON_DUEKOUE', 'GUEZON_FACOBLY', 'GUIBEROUA', 'GUIEMBE', 'GUIGLO', 'GUINGLO-TAHOUAKE', 'GUINTEGUELA', 'GUITRY', 'HIRE', 'IBOGUHE', 'ISSIA', 'JACQUEVILLE', 'KAADE', 'KAHIN-ZARABAON', 'KAKPIN', 'KAMALO', 'KANAKONO', 'KANI', 'KANIASSO', 'KANOROBA', 'KANZRA', 'KAOUARA', 'KARAKORO', 'KASSERE', 'KATIOLA', 'KATOGO', 'KETRO BASSAM', 'KIEMOU', 'KIMBIRILA-NORD', 'KIMBIRILA-SUD', 'KOFFI-AMONKRO', 'KOKOMIAN', 'KOKUMBO', 'KOLIA', 'KOMBORODOUGOU', 'KONDOSSOU', 'KONG', 'KONGASSO', 'KONI', 'KONONFLA'] ET 11 < age_num <= 18 ans ET region_name = 'N'ZI'",0,19
483,"marital_status = 'Veuf(ve)' ET bancarise <= 0.50 ET 17 < age_num <= 24 ans ET milieu_resid = 'Rural' ET sex = 'Féminin' ET city ∈ ['ABENGOUROU', 'ABIDJAN', 'ABIGUI', 'ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI', 'BONDO', 'BONDOUKOU', 'BONGO', 'BONGOUANOU', 'BONGUERA', 'BONIEREDOUGOU', 'BONON', 'BONOUA', 'BOOKO', 'BORON', 'BOROTOU', 'BOTRO', 'BOUAFLE', 'BOUAKE', 'BOUANDOUGOU', 'BOUGOU', 'BOUGOUSSO', 'BOUKO', 'BOUNA', 'BOUNDA', 'BOUNDIALI', 'BUYO', 'CECHI', 'CHIEPO', 'DABAKALA', 'DABOU', 'DABOUYO', 'DAHIEPA-KEHI', 'DAHIRI', 'DAIRO-DIDIZO', 'DAKPADOU', 'DALEU', 'DALOA', 'DAME', 'DANANE', 'DANANON', 'DANGUIRA', 'DANIA', 'DANOA', 'DAOUKRO', 'DAPEOUA', 'DIABO', 'DIAMARAKRO', 'DIANGOKRO', 'DIANRA', 'DIANRA-VILLAGE', 'DIARABANA', 'DIAWALA', 'DIBRI-ASRIKRO', 'DIDIEVI', 'DIDOKO', 'DIEGONEFLA', 'DIEOUZON', 'DIGNAGO', 'DIKODOUGOU', 'DIMANDOUGOU', 'DIMBOKRO', 'DIOULATIEDOUGOU', 'DIVO', 'DJAMANDIOKE', 'DJEBONOUA', 'DJEKANOU', 'DJIBROSSO', 'DJOUROUTOU', 'DOBA', 'DOGBO', 'DOKE', 'DOROPO', 'DOUGROUPALEGNOA', 'DOUKOUYO', 'DUALLA', 'DUEKOUE', 'DUFFREBO', 'EBILASSOKRO', 'EBONOU', 'ETTROKRO', 'ETUEBOUE', 'FACOBLY', 'FADIADOUGOU', 'FAGNAMPLEU', 'FAMIENKRO', 'FENGOLO', 'FERKESSEDOUGOU', 'FOUMBOLO', 'FOUNGBESSO', 'FRESCO', 'FRONAN', 'GABIADJI', 'GADOUAN', 'GAGNOA', 'GAGORE', 'GALEBOUO', 'GANAONI', 'GBAGBAM', 'GBAPLEU', 'GBOGUHE', 'GBOLOUVILLE', 'GBON', 'GBON-HOUYE', 'GBONGAHA', 'GBONNE', 'GNAMANGUI', 'GODOUKO', 'GOGO', 'GOHITAFLA', 'GOHOUO-ZAGNA', 'GOMON', 'GONATE', 'GOUEKAN', 'GOUINE', 'GOULALEU', 'GOULIA', 'GOUMERE', 'GRABO', 'GRAND-BASSAM', 'GRAND-BEREBY', 'GRAND-LAHOU', 'GRAND-MORIE', 'GRAND-ZATTRY', 'GREGBEU', 'GRIHIRI', 'GUEHIEBLY', 'GUEPAHOUO', 'GUESSABO', 'GUESSIGUIE', 'GUEYO', 'GUEZON_DUEKOUE', 'GUEZON_FACOBLY', 'GUIBEROUA', 'GUIEMBE', 'GUIGLO', 'GUINGLO-TAHOUAKE', 'GUINTEGUELA', 'GUITRY', 'HIRE', 'IBOGUHE', 'ISSIA', 'JACQUEVILLE', 'KAADE', 'KAHIN-ZARABAON', 'KAKPIN', 'KAMALO', 'KANAKONO', 'KANI', 'KANIASSO', 'KANOROBA', 'KANZRA', 'KAOUARA', 'KARAKORO', 'KASSERE', 'KATIOLA', 'KATOGO', 'KETRO BASSAM', 'KIEMOU', 'KIMBIRILA-NORD', 'KIMBIRILA-SUD', 'KOFFI-AMONKRO', 'KOKOMIAN', 'KOKUMBO', 'KOLIA', 'KOMBORODOUGOU', 'KONDOSSOU', 'KONG', 'KONGASSO', 'KONI', 'KONONFLA', 'KORHOGO', 'KORO', 'KOSSOU', 'KOTOBI', 'KOUA', 'KOUADIOBLEKRO', 'KOUAKRO', 'KOUAN-HOULE', 'KOUASSI-DATTEKRO', 'KOUASSI-KOUASSIKRO', 'KOUASSI-NIAGUNI', 'KOUETINFLA', 'KOUIBLY', 'KOUMBALA', 'KOUN-FAO', 'KOUNAHIRI', 'KOUTO', 'KPOUEBO', 'KREGBE', 'KROFOINSOU', 'LAKOTA', 'LANGUIBONOU', 'LAOUD-IBA', 'LATAHA', 'LAUZOUA', 'LILIYO', 'LOBAKUYA', 'LOGOUALE', 'LOLOBO', 'LOLOBO DE BEOUMI', 'LOMOKANKRO', 'LOPOU', 'LOVIGUIE', 'M'BAHIAKRO', 'M'BATTO', 'M'BENGUE', 'MADINANI', 'MAFERE', 'MAHANDIANA-SOKOURANI', 'MAHANDOUGOU', 'MAHAPLEU', 'MAMINIGUI', 'MAN', 'MANKONO', 'MARHANDALLAH', 'MASSALA', 'MEAGUI', 'MEDON', 'MEO', 'MINIGNAN', 'MOLONOU', 'MOLONOU-BLE', 'MOROKRO', 'MORONDO', 'N'DOUCI', 'N'DOUFFOUKANKRO', 'N'GATTAKRO', 'N'GOLOBLASSO', 'N'GUESSANKRO', 'N'ZEKRESSESSOU', 'NAFANA', 'NAFANA_PRIKRO', 'NAFOUN', 'NAHIO', 'NAMANE', 'NAPIELEODOUGOU', 'NASSIAN', 'NEBO', 'NIABLE', 'NIAKARAMADOUGOU', 'NIAMBEZARIA', 'NIAMOUE', 'NIDROU', 'NIELLE', 'NIEMENE', 'NIOFOIN', 'NIOKOSSO', 'NIZAHON', 'NOE', 'NOUAMOU', 'ODIENNE', 'OGOUDOU', 'OKROUYO', 'OLODIO', 'ONDEFIDOUO', 'OUANGOLODOUGOU', 'OUANINOU', 'OUELLE', 'OUME', 'OUPOYO', 'OURAGAHIO', 'OUYABLY-GNONDROU', 'PACOBO', 'PAKOUABO', 'PEHE', 'PODIAGOUINE', 'PRIKRO', 'RAVIART', 'RUBINO', 'SABOUDOUGOU', 'SAGO', 'SAIOUA', 'SAKASSOU', 'SAMANGO', 'SAMANZA', 'SAMATIGUILA', 'SAN-PEDRO', 'SANDEGUE', 'SANGOUINE', 'SANTA', 'SANTA DE OUANINOU', 'SARHALA', 'SASSANDRA', 'SATAMA-SOKORO', 'SATAMA-SOKOURA', 'SEDIEGO', 'SEGUELA', 'SEGUELON', 'SEILEU', 'SEITIFLA', 'SEMIEN', 'SERIHIO', 'SIANHALA', 'SIEMPURGO', 'SIFIE', 'SIKENSI', 'SIKOLO', 'SINEMATIALI', 'SINFRA', 'SIPILOU', 'SIRASSO', 'SOKALA-SOBARA', 'SOKORO', 'SONGON', 'SOROBANGO', 'SOUBRE', 'TAABO', 'TABAGNE', 'TABOU', 'TAFIRE']",0,1
335,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Masculin' ET bancarise <= 0.50 ET age_num <= 10 ans ET city ∈ ['ABIDJAN', 'ABIGUI']",1,367
338,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Masculin' ET bancarise <= 0.50 ET 2 < age_num <= 10 ans ET city ∈ ['ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN'] ET region_name ∈ ['AUTONOME D'ABIDJAN', 'BAFING', 'BAGOUE', 'BELIER']",1,11
379,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Masculin' ET bancarise <= 0.50 ET 10 < age_num <= 41 ans ET city ∈ ['ABENGOUROU', 'ABIDJAN', 'ABIGUI'] ET region_name ∈ ['AGNEBY-TIASSA', 'AUTONOME D'ABIDJAN', 'BAFING', 'BAGOUE', 'BELIER', 'BERE', 'BOUNKANI', 'CAVALLY', 'FOLON', 'GBEKE']",1,274
390,"marital_status = 'Célibataire' ET milieu_resid = 'Urbain' ET sex = 'Masculin' ET bancarise <= 0.50 ET 11 < age_num <= 18 ans ET city ∈ ['ABOISSO', 'ABOISSO-COMOE', 'ABONGOUA', 'ABOUDE', 'ADAOU', 'ADIAKE', 'ADJOUAN', 'ADZOPE', 'AFFERY', 'AGBOVILLE', 'AGNIBILEKROU', 'AGOU', 'AHOUANOU', 'AKOBOISSUE', 'AKOUPE', 'ALEPE', 'ALLOSSO', 'AMELEKIA', 'ANANDA', 'ANANGUIE', 'ANDE', 'ANDO-KEKRENOU', 'ANGODA', 'ANIASSUE', 'ANNEPE', 'ANOUMABA', 'ANYAMA', 'ARRHA', 'ASSAHARA', 'ASSIE-KOUMASSI', 'ASSIKOI', 'ASSUEFRY', 'ATTIEGOUAKRO', 'ATTOBROU', 'ATTOUTOU', 'AYAME', 'AYAOU-SRAN', 'AZAGUIE', 'BACANDA', 'BADIKAHA', 'BAGOHOUO', 'BAKO', 'BAKOUBLY', 'BANGOLO', 'BASSAWA', 'BAYOTA', 'BAZRA-NATTIS', 'BAZRE', 'BECEDI-BRIGNAN', 'BECOUEFIN', 'BEDIALA', 'BEDY-GOAZON', 'BEGBESSOU', 'BENGASSOU', 'BEOUMI', 'BETTIE', 'BIANKOUMA', 'BIANOUAN', 'BIEBY', 'BILIMORO', 'BIN-HOUYE', 'BINGERVILLE', 'BLAPLEU', 'BLENIMEOUIN', 'BLESSEGUE', 'BLOLEQUIN', 'BOBI', 'BOCANDA', 'BODOKRO', 'BOGUEDIA', 'BOLI', 'BONDO', 'BONDOUKOU', 'BONGO', 'BONGOUANOU', 'BONGUERA', 'BONIEREDOUGOU', 'BONON', 'BONOUA', 'BOOKO', 'BORON'] ET region_name = 'AUTONOME D'ABIDJAN'",1,9
